id,type,initial_frame,detection_duration,lenght
189,car,3374,43,127.9625244140625
190,car,3390,55,133.385986328125
191,car,3408,32,135.2799072265625
192,car,3416,1,114.90460205078125
193,car,3438,1,91.45947265625
194,truck,3453,52,397.6891784667969
195,truck,3470,47,354.0467529296875
196,truck,3496,35,370.4742431640625
197,car,3541,63,119.293701171875
198,motorcycle,3561,1,81.398193359375
199,car,3562,54,175.4476318359375
200,motorcycle,3565,1,76.1612548828125
201,motorcycle,3569,1,72.8436279296875
202,motorcycle,3577,2,65.55712890625
203,truck,3593,37,276.79823303222656
204,car,3632,52,132.8023681640625
205,truck,3671,34,194.88629150390625
206,car,3673,32,150.7357177734375
207,car,3715,45,64.0406494140625
208,car,3733,54,156.8240966796875
209,truck,3733,40,377.7276611328125
210,car,3734,3,49.2423095703125
211,car,3741,2,104.452880859375
212,train,3773,1,234.616943359375
213,car,3791,10,164.3897705078125
214,train,3804,23,423.3560791015625
215,car,3841,35,124.5635986328125
216,car,3842,54,181.712646484375
217,car,3871,59,136.5201416015625
218,car,3904,54,131.4638671875
219,car,3922,1,96.645263671875
220,car,3929,1,190.9305419921875
221,car,3938,56,136.114501953125
222,car,3955,56,159.08740234375
223,car,3989,47,135.66510009765625
224,truck,4088,13,180.6219482421875
225,truck,4107,29,147.7510986328125
226,truck,4129,9,154.92230224609375
227,car,4130,46,138.0140380859375
228,truck,4133,44,213.5372314453125
229,car,4157,55,118.6444091796875
230,truck,4189,11,306.80784606933594
231,truck,4222,27,379.16949462890625
232,train,4230,4,199.1617431640625
233,car,4251,54,172.30897521972656
234,truck,4287,36,354.62115478515625
235,car,4307,51,146.5506591796875
236,car,4325,18,150.5859375
237,car,4334,50,176.52166748046875
238,truck,4343,10,219.23223876953125
239,car,4377,3,128.28826904296875
240,car,4416,57,131.26898193359375
241,car,4455,36,170.5245361328125
242,car,4474,1,108.29022216796875
243,car,4486,32,158.61407470703125
244,truck,4493,2,146.812255859375
245,car,4510,55,135.6715087890625
246,car,4536,56,144.9703369140625
247,car,4546,3,135.63787841796875
248,car,4571,52,136.9237060546875
249,car,4580,26,139.5439453125
250,car,4598,14,127.6610107421875
251,truck,4623,37,267.46917724609375
252,car,4637,35,129.81756591796875
253,car,4663,19,116.12109375
254,car,4676,6,84.97705078125
255,car,4727,55,141.0166015625
256,car,4782,57,146.67857360839844
257,train,4783,7,380.80027770996094
258,car,4791,40,126.94744873046875
259,truck,4823,2,213.7584228515625
260,car,4824,55,164.54808044433594
261,car,4867,1,71.0205078125
262,car,4881,63,162.21875
263,car,4888,9,138.6883544921875
264,truck,4910,47,355.3548583984375
265,car,4935,39,148.7171630859375
266,car,4948,2,85.7177734375
267,car,4967,64,152.87158203125
268,car,4969,70,139.4891357421875
269,car,4990,8,119.1436767578125
270,train,5016,3,413.93951416015625
271,car,5023,49,147.735595703125
272,car,5050,70,199.83335876464844
273,bus,5070,1,207.805419921875
274,truck,5073,14,104.08349609375
275,car,5073,70,162.08714294433594
276,truck,5107,33,149.2626953125
277,car,5112,76,165.3272705078125
278,car,5139,30,121.3031005859375
279,car,5144,69,174.12501525878906
280,car,5146,76,137.3294677734375
281,car,5172,19,157.9207763671875
282,bus,5191,42,312.59222412109375
283,car,5217,76,152.93898010253906
284,car,5232,63,131.39263916015625
285,train,5237,1,391.97509765625
286,truck,5259,1,276.9803466796875
287,car,5289,1,138.34988403320312
288,car,5291,1,177.48687744140625
289,car,5330,2,145.1806640625
290,truck,5332,70,258.0191650390625
291,car,5332,6,85.5760498046875
292,truck,5333,20,184.01214599609375
293,car,5334,3,107.6536865234375
294,car,5354,62,180.17005920410156
295,car,5385,1,94.696533203125
296,car,5417,76,153.87005615234375
297,car,5417,24,129.414306640625
298,train,5518,20,408.378173828125
299,truck,5558,14,244.1302490234375
300,car,5610,59,158.1080322265625
301,car,5627,52,181.18377685546875
302,car,5643,1,55.286865234375
303,car,5666,53,162.3511962890625
304,car,5711,48,128.025634765625
305,car,5754,41,160.51495361328125
306,car,5771,34,135.32440185546875
307,truck,5859,8,469.97955322265625
308,car,5887,42,153.3988037109375
309,motorcycle,5928,3,64.3583984375
310,truck,5937,2,123.75439453125
311,car,5952,17,151.6500244140625
312,motorcycle,5958,1,39.4632568359375
313,car,5969,7,118.2572021484375
314,truck,5979,41,266.30162048339844
315,car,6010,44,194.6868896484375
316,truck,6032,10,354.83203125
317,truck,6038,27,343.45147705078125
318,car,6056,44,136.9849853515625
319,car,6065,37,117.458740234375
320,car,6077,44,134.5858154296875
321,car,6092,48,131.7655029296875
322,car,6145,20,152.027099609375
323,car,6153,40,146.2122802734375
324,car,6202,44,123.7235107421875
325,car,6207,46,144.46910095214844
326,train,6236,1,586.1224365234375
327,car,6267,8,84.632568359375
328,car,6269,23,156.71678161621094
329,train,6269,2,516.0458984375
330,train,6313,13,458.981689453125
331,car,6315,41,140.158935546875
332,car,6315,52,125.138916015625
333,train,6326,10,366.590576171875
334,train,6329,13,360.71630859375
335,train,6367,11,382.225830078125
336,car,6371,32,141.9058837890625
337,truck,6376,1,404.166748046875
338,truck,6381,1,182.861572265625
339,car,6393,47,164.933837890625
340,car,6419,13,290.50299072265625
341,truck,6429,2,219.4581298828125
342,truck,6460,13,227.33673095703125
343,truck,6471,6,218.982177734375
344,car,6481,58,135.70721435546875
345,car,6535,32,143.6771240234375
346,car,6557,66,119.88427734375
347,truck,6563,1,209.20941162109375
348,motorcycle,6571,11,80.2064208984375
349,truck,6596,3,162.135009765625
350,car,6620,65,143.8306884765625
351,truck,6624,19,152.259765625
352,car,6629,2,87.596435546875
353,car,6633,1,88.685791015625
354,car,6653,49,145.6337890625
355,car,6654,5,120.93505859375
356,motorcycle,6669,2,63.2117919921875
357,car,6674,45,176.03375244140625
358,car,6674,2,65.7467041015625
359,car,6683,64,121.38385009765625
